,Rule,Class,Precision,Recall,Coverage
0,if persons == 2 then,unacc,100.0,46.8,32.78
1,if persons == more and safety == low then,unacc,100.0,16.53,11.58
2,if safety == low and persons == 4 then,unacc,100.0,16.01,11.22
3,if safety == high and buying == low and persons == more and lug_boot == big and maint == med then,vgood,100.0,5.66,0.22
4,if safety == high and buying == low and lug_boot == big and persons == 4 and maint == med then,vgood,100.0,5.66,0.22
5,if safety == high and maint == low and buying == med and lug_boot == big and persons == more then,vgood,100.0,5.66,0.22
6,if buying == low and maint == med and safety == med and lug_boot == big and persons == more then,good,100.0,5.66,0.22
7,if persons == 4 and safety == high and buying == high and maint == med then,acc,100.0,3.57,0.8
8,if safety == med and persons == 4 and buying == low and maint == high then,acc,100.0,3.57,0.8
9,if persons == 4 and safety == high and buying == vhigh and maint == low then,acc,100.0,3.57,0.8
10,if persons == 4 and safety == high and maint == vhigh and buying == med then,acc,100.0,3.25,0.72
11,if safety == high and persons == 4 and maint == low and buying == high then,acc,100.0,3.25,0.72
12,if safety == high and persons == 4 and buying == low and maint == vhigh then,acc,100.0,3.25,0.72
13,if safety == high and maint == high and buying == high and persons == 4 then,acc,100.0,3.25,0.72
14,if maint == med and safety == high and buying == vhigh and persons == 4 then,acc,100.0,3.25,0.72
15,if persons == 4 and safety == high and buying == med and maint == high then,acc,100.0,2.92,0.65
16,if safety == med and lug_boot == small and persons == more and buying == high then,unacc,100.0,1.45,1.01
17,if safety == med and persons == 4 and lug_boot == small and buying == high then,unacc,100.0,1.24,0.87
18,if safety == med and buying == vhigh and maint == high and persons == more then,unacc,100.0,1.14,0.8
19,if maint == vhigh and safety == med and persons == 4 and buying == vhigh then,unacc,100.0,1.14,0.8
20,if maint == vhigh and buying == high and safety == high and persons == more then,unacc,100.0,1.14,0.8
21,if persons == 4 and buying == vhigh and maint == high and safety == high then,unacc,100.0,1.14,0.8
22,if buying == vhigh and safety == high and maint == vhigh and persons == more then,unacc,100.0,1.03,0.72
23,if safety == med and persons == 4 and buying == vhigh and maint == high then,unacc,100.0,1.03,0.72
24,if safety == med and persons == 4 and lug_boot == big and buying == high and maint == low then,acc,100.0,0.97,0.22
25,if safety == med and persons == more and lug_boot == big and buying == high and maint == low then,acc,100.0,0.97,0.22
26,if safety == med and persons == more and buying == low and maint == vhigh and lug_boot == big then,acc,100.0,0.97,0.22
27,if safety == med and persons == 4 and buying == low and maint == vhigh and lug_boot == big then,acc,100.0,0.97,0.22
28,if safety == med and persons == 4 and buying == low and lug_boot == small and maint == med then,acc,100.0,0.97,0.22
29,if safety == med and persons == more and buying == high and maint == high and lug_boot == big then,acc,100.0,0.97,0.22
30,if safety == med and persons == 4 and buying == med and maint == low and lug_boot == small then,acc,100.0,0.97,0.22
31,if persons == 4 and buying == med and maint == med and safety == high and lug_boot == small then,acc,100.0,0.97,0.22
32,if maint == vhigh and persons == 4 and safety == high and buying == vhigh then,unacc,100.0,0.93,0.65
33,if maint == high and buying == vhigh and safety == high and persons == more then,unacc,100.0,0.93,0.65
34,if buying == high and maint == vhigh and persons == 4 and safety == high then,unacc,100.0,0.93,0.65
35,if safety == med and maint == vhigh and persons == more and buying == vhigh then,unacc,100.0,0.83,0.58
36,if safety == med and persons == more and maint == med and buying == med and doors == 5more then,acc,100.0,0.65,0.14
37,if persons == more and safety == med and buying == low and maint == high and doors == 4 then,acc,100.0,0.65,0.14
38,if safety == high and persons == more and doors == 3 and buying == high and maint == low then,acc,100.0,0.65,0.14
39,if safety == high and persons == more and maint == vhigh and buying == med and doors == 5more then,acc,100.0,0.65,0.14
40,if safety == med and persons == more and buying == low and maint == high and doors == 3 then,acc,100.0,0.65,0.14
41,if safety == high and persons == more and maint == med and buying == vhigh and doors == 3 then,acc,100.0,0.65,0.14
42,if safety == high and persons == more and maint == vhigh and buying == low and doors == 5more then,acc,100.0,0.65,0.14
43,if safety == high and persons == more and maint == med and buying == high and doors == 5more then,acc,100.0,0.65,0.14
44,if persons == more and safety == high and maint == med and buying == vhigh and doors == 4 then,acc,100.0,0.65,0.14
45,if persons == more and safety == high and maint == vhigh and buying == low and doors == 3 then,acc,100.0,0.65,0.14
46,if persons == more and safety == high and maint == high and buying == high and doors == 3 then,acc,100.0,0.65,0.14
47,if persons == more and safety == high and doors == 4 and maint == vhigh and buying == low then,acc,100.0,0.65,0.14
48,if persons == more and safety == high and maint == high and buying == high and doors == 5more then,acc,100.0,0.65,0.14
49,if safety == med and persons == 4 and buying == high and maint == high and lug_boot == big then,acc,100.0,0.65,0.14
50,if persons == more and maint == low and doors == 4 and buying == vhigh and safety == high then,acc,100.0,0.65,0.14
51,if safety == high and persons == more and doors == 5more and buying == high and maint == low then,acc,100.0,0.32,0.07
52,if safety == med and persons == more and maint == med and buying == vhigh and lug_boot == big then,acc,100.0,0.32,0.07
53,if safety == med and persons == more and maint == med and doors == 3 and buying == med then,acc,100.0,0.32,0.07
54,if persons == more and safety == med and buying == low and lug_boot == med and maint == high then,acc,100.0,0.32,0.07
55,if safety == med and persons == more and doors == 5more and maint == high and buying == low then,acc,100.0,0.32,0.07
56,if safety == med and lug_boot == small and persons == more and buying == med and maint == vhigh then,unacc,100.0,0.31,0.22
57,if safety == med and maint == vhigh and persons == 4 and buying == low and lug_boot == small then,unacc,100.0,0.31,0.22
58,if safety == med and persons == more and lug_boot == small and buying == vhigh and maint == med then,unacc,100.0,0.31,0.22
59,if safety == med and persons == more and doors == 2 and lug_boot == small and buying == low then,unacc,100.0,0.31,0.22
60,if safety == med and doors == 2 and lug_boot == med and buying == high and persons == more then,unacc,100.0,0.31,0.22
61,if doors == 2 and persons == more and safety == high and lug_boot == small and buying == low then,unacc,100.0,0.31,0.22
62,if safety == med and maint == vhigh and persons == more and buying == high and doors == 3 then,unacc,100.0,0.21,0.14
63,if safety == med and maint == vhigh and persons == more and doors == 2 and lug_boot == med then,unacc,100.0,0.21,0.14
64,if safety == med and maint == vhigh and buying == high and lug_boot == big and doors == 2 then,unacc,100.0,0.21,0.14
65,if safety == med and persons == 4 and lug_boot == med and buying == high and maint == vhigh then,unacc,100.0,0.21,0.14
66,if safety == med and persons == more and lug_boot == small and buying == vhigh and maint == low then,unacc,100.0,0.21,0.14
67,if doors == 2 and persons == more and lug_boot == small and safety == high and maint == med then,unacc,100.0,0.21,0.14
68,if safety == med and persons == 4 and lug_boot == med and doors == 2 and buying == high then,unacc,100.0,0.1,0.07
69,if doors == 2 and persons == more and safety == high and lug_boot == small and buying == med then,unacc,100.0,0.1,0.07
70,if safety == med and maint == vhigh and doors == 5more and lug_boot == small and buying == med then,unacc,100.0,0.1,0.07
71,if safety == high and persons == more and buying == med and maint == high then,acc,66.67,2.92,0.65
