method,NT,F,accuracy,time
DF,1,2,16.99,15.43
DF,1,4,19.74,20.57
DF,1,6,19.02,24.56
DF,10,2,21.65,82.84
DF,10,4,21.41,169.82
DF,10,6,21.77,232.89
DF,25,2,23.21,178.31
DF,25,4,24.52,379.22
DF,25,6,22.85,791.15
DF,50,2,22.73,428.52
DF,50,4,23.8,807.57
DF,50,6,22.49,1108.32
DF,75,2,24.76,540.83
DF,75,4,24.76,1200.77
DF,75,6,23.21,1785.23
DF,100,2,23.8,745.71
DF,100,4,24.16,1517.49
DF,100,6,22.13,2350.91
RF,1,1,20.33,3.59
RF,1,2,19.62,6.98
RF,1,3,18.78,10.53
RF,10,1,25.84,31.43
RF,10,2,24.64,60.97
RF,10,3,21.65,82.67
RF,25,1,25.0,192.61
RF,25,2,25.48,150.52
RF,25,3,24.16,259.73
RF,50,1,27.87,147.38
RF,50,2,25.12,295.99
RF,50,3,25.24,418.03
RF,75,1,27.63,222.54
RF,75,2,25.6,443.8
RF,75,3,25.72,632.9
RF,100,1,26.91,288.94
RF,100,2,26.91,571.3
RF,100,3,25.12,838.02
