method,NT,F,accuracy,time
DF,1,1,53.33,0.39
DF,1,2,90.0,0.11
DF,1,3,96.67,0.22
DF,10,1,93.33,0.76
DF,10,2,90.0,0.76
DF,10,3,100.0,0.62
DF,25,1,96.67,0.86
DF,25,2,96.67,1.71
DF,25,3,96.67,3.15
DF,50,1,80.0,2.07
DF,50,2,96.67,2.61
DF,50,3,100.0,1.82
DF,75,1,96.67,1.42
DF,75,2,96.67,4.19
DF,75,3,100.0,2.33
DF,100,1,96.67,1.19
DF,100,2,96.67,2.26
DF,100,3,96.67,2.85
RF,1,1,96.67,0.03
RF,1,2,96.67,0.05
RF,10,1,100.0,0.38
RF,10,2,96.67,0.46
RF,25,1,100.0,1.88
RF,25,2,100.0,2.28
RF,50,1,96.67,0.62
RF,50,2,100.0,0.99
RF,75,1,100.0,1.14
RF,75,2,100.0,1.24
RF,100,1,96.67,1.27
RF,100,2,100.0,1.84
