method,NT,F,accuracy,time
DF,1,5,84.68,0.13
DF,1,11,98.41,0.24
DF,1,16,99.38,0.46
DF,1,20,100.0,0.55
DF,1,22,100.0,0.55
DF,10,5,99.65,2.58
DF,10,11,100.0,3.99
DF,10,16,100.0,4.76
DF,10,20,100.0,5.8
DF,10,22,100.0,5.47
DF,25,5,99.82,5.04
DF,25,11,100.0,9.84
DF,25,16,100.0,12.19
DF,25,20,100.0,13.41
DF,25,22,100.0,15.47
DF,50,5,100.0,11.29
DF,50,11,100.0,20.05
DF,50,16,100.0,24.64
DF,50,20,100.0,27.8
DF,50,22,100.0,30.4
DF,75,5,100.0,16.4
DF,75,11,100.0,31.95
DF,75,16,100.0,39.75
DF,75,20,100.0,40.97
DF,75,22,100.0,44.76
DF,100,5,100.0,20.83
DF,100,11,100.0,41.43
DF,100,16,100.0,56.96
DF,100,20,100.0,54.98
DF,100,22,100.0,55.76
RF,1,1,93.71,0.07
RF,1,2,94.95,0.11
RF,1,4,99.73,0.14
RF,1,22,100.0,0.6
RF,10,1,90.79,0.5
RF,10,2,100.0,1.12
RF,10,4,100.0,1.37
RF,10,22,100.0,5.53
RF,25,1,93.45,1.14
RF,25,2,100.0,2.3
RF,25,4,100.0,4.03
RF,25,22,100.0,13.17
RF,50,1,98.49,2.66
RF,50,2,100.0,6.58
RF,50,4,100.0,8.32
RF,50,22,100.0,29.32
RF,75,1,94.42,4.36
RF,75,2,100.0,7.78
RF,75,4,100.0,12.9
RF,75,22,100.0,42.09
RF,100,1,95.75,5.02
RF,100,2,100.0,9.92
RF,100,4,100.0,17.43
RF,100,22,100.0,60.6
