method,NT,F,accuracy,time
DF,1,2,69.79,0.01
DF,1,4,68.75,0.08
DF,1,6,76.04,0.16
DF,1,8,90.62,0.15
DF,1,9,94.27,0.13
DF,10,2,72.4,0.11
DF,10,4,80.73,0.69
DF,10,6,85.42,1.84
DF,10,8,95.31,1.75
DF,10,9,95.83,1.43
DF,25,2,70.31,0.31
DF,25,4,81.25,1.98
DF,25,6,90.1,5.55
DF,25,8,95.83,5.06
DF,25,9,95.31,4.78
DF,50,2,70.31,0.55
DF,50,4,81.77,3.67
DF,50,6,92.19,10.39
DF,50,8,95.83,8.89
DF,50,9,95.31,6.61
DF,75,2,70.31,0.81
DF,75,4,83.85,5.0
DF,75,6,93.23,14.1
DF,75,8,96.88,15.96
DF,75,9,95.83,10.94
DF,100,2,70.31,1.26
DF,100,4,77.08,9.06
DF,100,6,94.79,30.43
DF,100,8,96.35,22.23
DF,100,9,95.83,21.84
RF,1,1,62.5,0.03
RF,1,2,72.92,0.08
RF,1,3,78.12,0.08
RF,1,9,94.79,0.11
RF,10,1,79.17,0.34
RF,10,2,90.62,0.76
RF,10,3,93.23,1.12
RF,10,9,99.48,1.37
RF,25,1,80.73,0.72
RF,25,2,91.15,1.94
RF,25,3,98.44,2.13
RF,25,9,98.96,2.98
RF,50,1,86.46,1.29
RF,50,2,96.88,3.35
RF,50,3,98.96,4.13
RF,50,9,98.44,5.61
RF,75,1,85.94,2.15
RF,75,2,98.96,5.57
RF,75,3,99.48,6.44
RF,75,9,98.96,9.87
RF,100,1,78.12,6.24
RF,100,2,96.88,7.35
RF,100,3,99.48,8.55
RF,100,9,98.96,12.75
